data,receita_liquida,custo_operacionais,receitas_financeiras,despesas_financeiros,lucro_liquido,sentimento,diff_aber_arq
2012-01-01,3829.4,-2679.8,574.0,3810.6,345.8,0.4020838632198269,323.50560316414
2012-04-01,6909.3,-4768.8,943.0,-1634.8,64.1,0.6587646477437654,266.591966173362
2012-07-01,7040.6,-4855.0,443.4,-997.0,314.6,0.5834581043146604,220.06971294668998
2012-10-01,7389.9,-4927.0,315.0,-1048.4,113.0,0.6482138638131923,191.417508417508
2013-01-01,7041.2,-4890.2,275.3,-1035.7,262.3,0.6377283702535324,178.184682713348
2013-04-01,7073.1,-5276.2,366.9,-1238.1,-124.2,0.3430584483952083,204.79402415766103
2013-07-01,7099.1,-4960.0,237.5,-1055.6,172.3,0.3972450744970679,215.38735042735001
2013-10-01,7208.8,-3713.0,495.5,-1320.2,1182.7,0.36840752491565343,181.399744572158
2014-01-01,6876.5,-3923.1,279.0,-1472.9,227.5,0.3784344056726217,151.853673723537
2014-04-01,7080.0,-5278.0,374.0,-1412.0,-185.0,0.36670270182779835,124.678348214286
2014-07-01,6968.0,-4709.0,379.0,-1375.0,52.0,0.4070889695907572,120.51662519791901
2014-10-01,7323.0,-4127.0,312.0,-1632.0,-87.0,0.5287752857228117,115.27756410256399
2015-01-01,7039.9,-5028.7,306.9,-1576.0,-414.1,0.23196699084573535,126.22206703910601
2015-04-01,6784.0,-4885.0,570.0,-1780.0,-442.0,0.1694148534556392,119.05910498170601
2015-07-01,6827.0,-4649.0,4004.0,-5977.0,-1027.0,0.2832182320761484,111.735726399096
2015-10-01,6703.0,-4908.0,23.0,-3975.0,-4533.0,0.10420890943526437,107.71994829814699
2016-01-01,6755.0,-4989.0,278.0,-2181.0,-1769.0,0.19200696002165676,97.9249475890985
2016-04-01,6524.0,-5089.0,772.0,-5753.0,470.0,0.0811330270711398,79.65365853658541
2016-07-01,6394.0,-4750.0,397.0,-2098.0,-1605.0,-0.048490384520694575,69.22270981897971
2016-10-01,6323.0,-7076.0,262.0,-969.0,-2807.0,-0.0015487309900648518,56.556274256144896
2017-01-01,6524.0,-5083.0,435.0,187.0,470.0,0.008636179433002494,172.190476190476
2017-04-01,5839.0,-4222.0,772.0,-5753.0,-4776.0,0.1003446568161332,89.8219584569733
2017-07-01,5964.0,-4358.0,416.0,-371.0,200.0,0.1571449285723547,76.4721189591078
2017-10-01,5828.0,-8025.0,5350.0,-3496.0,-1659.0,-0.03559986489956317,79.77845528455279
2018-01-01,5668.0,-4096.0,28677.0,1503.0,30483.0,0.112779333841559,89.87566137566141
2018-04-01,5545.0,-3826.0,1787.0,-2986.0,-1071.0,0.07044188378380843,76.6503759398496
2018-07-01,5481.0,-4022.0,732.0,-2187.0,-1461.0,0.23910790661314824,58.342105263157904
2018-10-01,5365.0,-9572.0,-245.0,-671.0,-6610.0,0.13697732785973193,42.360655737704896
